Ant 38,Ant 8,Ant 49,Ant 138,Ant 9,Ant 48,Ant 124,Ant 150,Ant 25,Ant 2,Ant 64,Ant 81,Ant 18,Ant 86,Ant 95,Ant 32,Ant 121,Ant 75,Ant 103,Ant 151,Ant 96,Ant 94,Ant 6,Ant 27,Ant 76,Ant 13,Ant 39,Ant 111,Ant 52,Ant 56,Ant 53,Ant 19,Ant 143,Ant 61,Ant 7,Ant 148,Ant 23,Ant 54,Ant 35,Ant 30,Ant 42,Ant 160,Ant 17,Ant 1,Ant 11,Ant 68,Ant 10,Ant 26,Ant 119,Ant 139,Ant 80,Ant 21,Ant 22,Ant 157,Ant 55,Ant 158,Ant 159,Ant 154,Ant 146,Ant 144,Ant 137,Ant 135,Ant 131,Ant 129,Ant 125,Ant 122,Ant 114,Ant 110,Ant 107,Ant 105,Ant 102,Ant 100,Ant 98,Ant 91,Ant 88,Ant 82,Ant 78,Ant 74,Ant 70,Ant 67,Ant 60,Ant 51,Ant 47,Ant 45,Ant 43,Ant 34,Ant 24,Ant 14,Ant 4,Ant 3,Ant 20,Ant 29,Ant 40,Ant 44,Ant 46,Ant 50,Ant 58,Ant 65,Ant 69,Ant 72,Ant 77,Ant 79,Ant 83,Ant 89,Ant 97,Ant 99,Ant 101,Ant 104,Ant 106,Ant 109,Ant 113,Ant 120,Ant 123,Ant 128,Ant 130,Ant 132,Ant 136,Ant 141,Ant 145,Ant 153,Ant 156,Ant 28,Ant 149,Ant 93,Ant 73,Ant 90,Ant 140,Ant 112,Ant 66,Ant 59,Ant 84,Ant 12,Ant 85,Ant 15,Ant 133,Ant 127,Ant 116,Ant 118,Ant 71,Ant 33,Ant 92,Ant 117,Ant 126,Ant 41,Ant 57,Ant 5,Ant 37,Ant 87,Ant 62,Ant 147,Ant 152,Ant 108,Ant 63,Ant 134,Ant 16,Ant 36,Ant 31,Ant 142,Ant 115,Ant 155
1e-07,0.9000001,1.7000001,1.0000001,1.8000001,0.8000001,2.9000000999999997,2.5000001,1.4000001,2.1000001,2.3000000999999997,2.9000000999999997,0.20000010000000001,1.3000001,17.600000100000003,4.7000001000000005,5.1000001,3.4000000999999997,5.8000001,1.4000001,3.7000001,5.6000001,4.5000001,5.400000100000001,5.0000001,2.2000001,4.400000100000001,4.1000001,5.3000001,7.2000001000000005,0.8000001,0.7000000999999999,0.20000010000000001,0.6000000999999999,0.6000000999999999,1.7000001,1.1000001000000001,1.1000001000000001,0.20000010000000001,0.6000000999999999,1e-07,1e-07,0.7000000999999999,0.10000010000000001,1.9000001,0.8000001,0.5000001,0.4000001,0.5000001,0.6000000999999999,1e-07,0.10000010000000001,0.3000001,0.10000010000000001,0.3000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4.2000001000000005,4.1000001,4.400000100000001,9.9000001,11.5000001,14.0000001,5.7000001000000005,8.5000001,14.8000001,4.6000001,6.5000001,8.0000001,5.400000100000001,4.1000001,6.1000001,10.5000001,10.200000099999999,7.2000001000000005,10.0000001,13.5000001,6.0000001,7.400000100000001,24.7000001,1e-07,6.8000001,18.4000001,14.4000001,14.0000001,24.5000001,10.5000001,13.600000099999999,21.0000001,14.8000001,10.9000001,9.9000001,7.2000001000000005,6.2000001000000005,4.5000001,1e-07
0.10000010000000001,0.3000001,1.5000001,0.7000000999999999,0.7000000999999999,0.7000000999999999,1.4000001,2.2000001,1.0000001,2.4000000999999997,1.8000001,1.0000001,0.5000001,2.2000001,9.0000001,7.5000001,5.1000001,0.3000001,3.9000000999999997,2.1000001,2.5000001,4.5000001,2.0000001,3.5000001,4.400000100000001,0.7000000999999999,3.5000001,2.8000000999999997,1.5000001,1.6000001000000001,0.10000010000000001,1.0000001,0.8000001,0.7000000999999999,0.5000001,1.3000001,1.2000001,0.4000001,0.10000010000000001,0.3000001,0.3000001,0.4000001,1e-07,0.3000001,1.9000001,0.8000001,0.20000010000000001,0.3000001,0.6000000999999999,0.9000001,1e-07,0.10000010000000001,0.10000010000000001,1e-07,0.6000000999999999,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.7000001,3.0000001,4.400000100000001,7.400000100000001,7.6000001,7.5000001,3.9000000999999997,4.6000001,9.3000001,4.1000001,4.5000001,1.6000001000000001,3.0000001,8.5000001,9.100000099999999,3.5000001,4.0000001,7.0000001,10.600000099999999,6.1000001,3.7000001,2.4000000999999997,14.700000099999999,6.8000001,1e-07,9.5000001,11.600000099999999,6.1000001,13.100000099999999,8.700000099999999,5.900000100000001,12.100000099999999,10.0000001,14.100000099999999,7.0000001,7.400000100000001,5.5000001,10.9000001,0.10000010000000001
1e-07,1.0000001,1.5000001,0.8000001,1.1000001000000001,0.4000001,1.0000001,1.3000001,1.0000001,1.6000001000000001,1.5000001,3.3000000999999997,0.20000010000000001,0.9000001,9.5000001,4.2000001000000005,4.7000001000000005,3.4000000999999997,4.1000001,1.3000001,1.6000001000000001,4.7000001000000005,1.6000001000000001,3.2000001,3.8000000999999997,0.9000001,4.0000001,3.0000001,3.7000001,1.5000001,0.5000001,0.8000001,1e-07,0.5000001,0.7000000999999999,1.0000001,0.3000001,0.20000010000000001,0.3000001,0.3000001,0.20000010000000001,0.10000010000000001,0.10000010000000001,0.10000010000000001,1.0000001,0.3000001,0.20000010000000001,0.20000010000000001,1.2000001,0.5000001,1e-07,0.10000010000000001,0.10000010000000001,1e-07,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6.2000001000000005,2.7000001,5.5000001,12.3000001,7.2000001000000005,12.700000099999999,1.6000001000000001,8.9000001,9.4000001,6.6000001,5.2000001000000005,1.9000001,3.7000001,6.3000001,6.1000001,8.200000099999999,4.1000001,12.100000099999999,12.9000001,11.100000099999999,7.2000001000000005,6.2000001000000005,21.0000001,18.4000001,9.5000001,1e-07,9.0000001,9.3000001,21.300000100000002,7.8000001,11.700000099999999,22.9000001,21.2000001,17.4000001,11.200000099999999,6.2000001000000005,5.0000001,4.6000001,1e-07
1e-07,0.6000000999999999,0.6000000999999999,1.5000001,1.3000001,0.9000001,1.5000001,3.7000001,1.7000001,2.4000000999999997,1.3000001,1.8000001,0.3000001,1.7000001,9.9000001,3.5000001,3.7000001,0.6000000999999999,3.8000000999999997,2.4000000999999997,4.900000100000001,6.7000001000000005,4.3000001,2.2000001,3.5000001,1.6000001000000001,4.5000001,5.2000001000000005,3.0000001,4.8000001,0.5000001,1.1000001000000001,1.4000001,0.9000001,0.10000010000000001,0.9000001,0.8000001,0.4000001,1e-07,0.20000010000000001,0.4000001,1e-07,0.8000001,0.5000001,0.7000000999999999,0.6000000999999999,0.7000000999999999,0.10000010000000001,1.0000001,1.3000001,0.20000010000000001,0.20000010000000001,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.2000001,4.900000100000001,8.3000001,9.9000001,6.1000001,12.0000001,6.2000001000000005,6.6000001,13.700000099999999,1.9000001,7.7000001000000005,2.6000001,3.4000000999999997,6.5000001,5.0000001,4.2000001000000005,2.2000001,10.8000001,10.200000099999999,7.0000001,5.8000001,4.900000100000001,22.800000100000002,14.4000001,11.600000099999999,9.0000001,1e-07,11.600000099999999,23.300000100000002,14.5000001,16.800000100000002,13.9000001,16.7000001,14.9000001,4.0000001,5.7000001000000005,6.3000001,9.8000001,1e-07
1e-07,0.10000010000000001,0.6000000999999999,0.10000010000000001,0.20000010000000001,0.10000010000000001,0.4000001,0.6000000999999999,0.3000001,0.3000001,0.6000000999999999,0.3000001,1e-07,0.20000010000000001,6.8000001,1.3000001,1.1000001000000001,2.4000000999999997,1.4000001,0.4000001,1.1000001000000001,1.6000001000000001,0.7000000999999999,1.4000001,0.6000000999999999,0.8000001,1.2000001,2.1000001,4.0000001,1.8000001,1e-07,0.10000010000000001,0.10000010000000001,0.10000010000000001,1e-07,0.5000001,1e-07,0.10000010000000001,0.4000001,0.20000010000000001,1e-07,0.10000010000000001,1e-07,0.3000001,0.10000010000000001,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,5.0000001,2.4000000999999997,5.3000001,6.0000001,2.1000001,3.0000001,2.0000001,4.1000001,3.0000001,2.9000000999999997,2.5000001,2.5000001,2.9000000999999997,0.8000001,3.2000001,3.5000001,2.9000000999999997,3.9000000999999997,6.3000001,4.2000001000000005,3.0000001,4.5000001,12.600000099999999,14.0000001,6.1000001,9.3000001,11.600000099999999,1e-07,9.100000099999999,7.0000001,7.5000001,15.9000001,12.3000001,5.3000001,7.0000001,6.1000001,8.4000001,10.600000099999999,1e-07
1e-07,0.7000000999999999,1.9000001,0.5000001,0.20000010000000001,0.6000000999999999,1.9000001,5.0000001,2.4000000999999997,1.9000001,1.9000001,1.1000001000000001,1.2000001,1.3000001,24.9000001,4.900000100000001,7.8000001,3.0000001,5.5000001,2.7000001,5.900000100000001,7.400000100000001,4.400000100000001,3.6000001,5.1000001,1.5000001,4.2000001000000005,6.6000001,4.1000001,4.3000001,0.7000000999999999,1.0000001,0.20000010000000001,0.20000010000000001,0.9000001,1.0000001,0.7000000999999999,0.8000001,0.20000010000000001,0.7000000999999999,0.20000010000000001,0.20000010000000001,0.5000001,1.0000001,1.5000001,0.10000010000000001,0.5000001,0.7000000999999999,0.8000001,0.6000000999999999,0.10000010000000001,0.10000010000000001,1e-07,0.10000010000000001,0.20000010000000001,0.5000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4.2000001000000005,5.3000001,8.3000001,12.700000099999999,10.9000001,24.300000100000002,3.3000000999999997,8.4000001,11.3000001,6.400000100000001,4.0000001,4.0000001,6.7000001000000005,5.7000001000000005,6.0000001,7.5000001,3.2000001,5.0000001,8.0000001,10.200000099999999,6.8000001,7.5000001,41.5000001,24.5000001,13.100000099999999,21.300000100000002,23.300000100000002,9.100000099999999,1e-07,11.100000099999999,10.9000001,29.2000001,15.3000001,12.5000001,10.200000099999999,2.6000001,4.1000001,3.1000001,1e-07
1e-07,0.7000000999999999,1.2000001,1.1000001000000001,0.8000001,0.20000010000000001,0.9000001,1.6000001000000001,1.5000001,1.6000001000000001,1.5000001,1.7000001,0.10000010000000001,1.1000001000000001,5.8000001,2.9000000999999997,4.900000100000001,1.9000001,2.1000001,2.0000001,4.2000001000000005,2.1000001,2.1000001,1.4000001,2.0000001,0.5000001,2.4000000999999997,5.7000001000000005,1.7000001,2.2000001,0.3000001,0.3000001,0.10000010000000001,0.7000000999999999,0.5000001,2.8000000999999997,0.20000010000000001,0.3000001,1e-07,1e-07,0.3000001,0.20000010000000001,0.3000001,0.8000001,0.6000000999999999,0.8000001,0.5000001,0.5000001,0.9000001,0.5000001,1e-07,1e-07,1e-07,1e-07,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.5000001,4.7000001000000005,6.6000001,6.8000001,5.3000001,9.3000001,2.9000000999999997,3.6000001,9.9000001,2.5000001,6.2000001000000005,3.7000001,3.0000001,3.3000000999999997,7.3000001,6.0000001,5.6000001,9.700000099999999,5.400000100000001,4.8000001,4.0000001,14.3000001,10.9000001,10.5000001,8.700000099999999,7.8000001,14.5000001,7.0000001,11.100000099999999,1e-07,6.2000001000000005,13.100000099999999,10.600000099999999,6.1000001,3.5000001,5.400000100000001,3.2000001,3.2000001,0.10000010000000001
0.3000001,0.9000001,2.5000001,3.3000000999999997,1.3000001,0.3000001,1.0000001,4.5000001,1.6000001000000001,2.7000001,3.5000001,1.9000001,1.0000001,3.8000000999999997,11.3000001,7.0000001,5.7000001000000005,3.5000001,9.4000001,1.9000001,5.900000100000001,6.2000001000000005,4.1000001,2.9000000999999997,3.9000000999999997,1.3000001,6.2000001000000005,6.7000001000000005,3.0000001,3.3000000999999997,0.8000001,1.7000001,0.5000001,0.9000001,1.2000001,2.8000000999999997,1.0000001,0.9000001,0.20000010000000001,1.0000001,0.4000001,0.4000001,0.6000000999999999,0.6000000999999999,1.1000001000000001,0.6000000999999999,1.4000001,0.9000001,0.9000001,0.3000001,1e-07,1e-07,1.7000001,0.5000001,0.9000001,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,8.8000001,4.0000001,3.7000001,7.900000100000001,8.3000001,12.600000099999999,5.1000001,5.900000100000001,12.4000001,5.3000001,4.6000001,6.8000001,7.7000001000000005,6.6000001,3.1000001,3.9000000999999997,7.8000001,4.2000001000000005,8.3000001,9.100000099999999,4.1000001,13.100000099999999,21.100000100000003,13.600000099999999,5.900000100000001,11.700000099999999,16.800000100000002,7.5000001,10.9000001,6.2000001000000005,1e-07,9.700000099999999,10.5000001,8.200000099999999,4.6000001,5.5000001,3.1000001,3.8000000999999997,0.3000001
1e-07,0.7000000999999999,0.6000000999999999,0.7000000999999999,1.6000001000000001,1.0000001,2.8000000999999997,2.8000000999999997,2.8000000999999997,1.9000001,2.0000001,1.8000001,0.6000000999999999,2.0000001,16.600000100000003,4.400000100000001,7.2000001000000005,4.0000001,5.7000001000000005,1.8000001,5.6000001,6.900000100000001,2.6000001,2.2000001,5.6000001,1.7000001,5.5000001,4.900000100000001,6.8000001,4.6000001,0.6000000999999999,1.0000001,1e-07,1.1000001000000001,0.3000001,1.7000001,1.1000001000000001,0.8000001,0.20000010000000001,0.3000001,0.20000010000000001,0.10000010000000001,0.3000001,0.10000010000000001,0.3000001,0.4000001,0.4000001,0.4000001,1.1000001000000001,0.4000001,1e-07,1e-07,0.20000010000000001,0.20000010000000001,0.6000000999999999,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,5.6000001,5.400000100000001,7.0000001,13.600000099999999,8.100000099999999,12.700000099999999,3.5000001,8.100000099999999,14.9000001,7.6000001,7.6000001,6.1000001,3.4000000999999997,5.5000001,9.9000001,8.8000001,5.1000001,6.400000100000001,9.700000099999999,11.8000001,6.2000001000000005,11.700000099999999,30.300000100000002,21.0000001,12.100000099999999,22.9000001,13.9000001,15.9000001,29.2000001,13.100000099999999,9.700000099999999,1e-07,12.8000001,7.5000001,7.400000100000001,5.2000001000000005,7.6000001,7.7000001000000005,0.10000010000000001
1e-07,1.0000001,1.0000001,0.3000001,0.6000000999999999,1e-07,1.2000001,1.9000001,2.0000001,2.5000001,1.1000001000000001,1.0000001,0.3000001,0.9000001,9.9000001,4.2000001000000005,4.8000001,2.7000001,4.0000001,1.5000001,4.900000100000001,5.2000001000000005,2.6000001,4.0000001,4.1000001,1.2000001,2.9000000999999997,4.7000001000000005,2.9000000999999997,3.2000001,0.20000010000000001,0.4000001,1e-07,0.9000001,0.20000010000000001,0.7000000999999999,0.6000000999999999,0.10000010000000001,0.10000010000000001,0.20000010000000001,1e-07,1e-07,0.20000010000000001,0.20000010000000001,0.3000001,0.7000000999999999,0.10000010000000001,0.3000001,0.6000000999999999,0.9000001,1e-07,1e-07,0.3000001,1e-07,1e-07,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.8000001,3.0000001,6.3000001,12.4000001,6.8000001,10.9000001,3.3000000999999997,5.7000001000000005,8.700000099999999,5.2000001000000005,4.900000100000001,2.8000000999999997,7.400000100000001,3.8000000999999997,15.100000099999999,7.2000001000000005,3.8000000999999997,8.8000001,13.5000001,11.5000001,4.2000001000000005,13.200000099999999,17.600000100000003,14.8000001,10.0000001,21.2000001,16.7000001,12.3000001,15.3000001,10.600000099999999,10.5000001,12.8000001,1e-07,8.5000001,4.400000100000001,5.3000001,4.0000001,5.900000100000001,1e-07
1e-07,0.4000001,1.6000001000000001,1.7000001,0.7000000999999999,0.7000000999999999,1.4000001,1.6000001000000001,1.2000001,1.9000001,1.5000001,2.1000001,0.5000001,1.8000001,6.2000001000000005,5.3000001,9.3000001,2.9000000999999997,6.0000001,1.2000001,2.6000001,5.7000001000000005,2.4000000999999997,2.5000001,2.2000001,2.0000001,3.0000001,4.5000001,2.4000000999999997,2.8000000999999997,0.9000001,1.1000001000000001,0.5000001,0.3000001,0.4000001,0.6000000999999999,0.4000001,0.6000000999999999,0.20000010000000001,0.3000001,0.4000001,0.4000001,0.3000001,0.10000010000000001,1.0000001,0.7000000999999999,0.3000001,0.4000001,1.4000001,0.5000001,0.10000010000000001,1e-07,0.6000000999999999,1e-07,0.4000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6.1000001,3.4000000999999997,2.1000001,6.2000001000000005,5.7000001000000005,10.5000001,2.5000001,5.1000001,8.200000099999999,4.1000001,6.0000001,7.3000001,3.5000001,3.6000001,6.3000001,8.100000099999999,5.400000100000001,11.100000099999999,10.0000001,12.5000001,4.7000001000000005,3.9000000999999997,8.8000001,10.9000001,14.100000099999999,17.4000001,14.9000001,5.3000001,12.5000001,6.1000001,8.200000099999999,7.5000001,8.5000001,1e-07,7.3000001,10.8000001,5.1000001,11.100000099999999,0.3000001
1e-07,0.20000010000000001,1.0000001,0.4000001,0.4000001,0.3000001,2.0000001,0.6000000999999999,0.20000010000000001,0.6000000999999999,2.8000000999999997,0.7000000999999999,0.20000010000000001,1e-07,7.400000100000001,1.6000001000000001,2.2000001,1.6000001000000001,1.9000001,0.9000001,2.8000000999999997,1.7000001,1.1000001000000001,0.8000001,1.5000001,1.2000001,2.0000001,1.6000001000000001,1.2000001,1.3000001,1e-07,1.0000001,0.20000010000000001,0.3000001,0.3000001,1.3000001,0.3000001,0.10000010000000001,1e-07,0.20000010000000001,1e-07,1e-07,1e-07,0.10000010000000001,0.7000000999999999,0.20000010000000001,1e-07,1e-07,0.3000001,0.6000000999999999,1e-07,1e-07,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,8.200000099999999,1.4000001,1.9000001,5.400000100000001,2.7000001,4.900000100000001,1.1000001000000001,4.1000001,2.7000001,2.0000001,1.9000001,1.1000001000000001,3.5000001,2.1000001,2.3000000999999997,5.7000001000000005,3.1000001,2.4000000999999997,6.5000001,10.700000099999999,4.2000001000000005,5.900000100000001,8.0000001,9.9000001,7.0000001,11.200000099999999,4.0000001,7.0000001,10.200000099999999,3.5000001,4.6000001,7.400000100000001,4.400000100000001,7.3000001,1e-07,15.600000099999999,5.7000001000000005,9.9000001,1e-07
1e-07,0.3000001,0.6000000999999999,0.5000001,0.10000010000000001,1e-07,0.8000001,0.3000001,0.10000010000000001,0.5000001,0.4000001,0.3000001,0.10000010000000001,0.3000001,4.2000001000000005,1.0000001,1.8000001,1.6000001000000001,1.0000001,0.10000010000000001,1.0000001,2.4000000999999997,0.20000010000000001,1.1000001000000001,1.9000001,0.6000000999999999,1.4000001,0.8000001,0.3000001,0.7000000999999999,0.20000010000000001,0.20000010000000001,0.3000001,0.5000001,0.3000001,1.0000001,0.5000001,0.20000010000000001,0.10000010000000001,0.5000001,1e-07,0.10000010000000001,0.3000001,0.10000010000000001,1e-07,0.20000010000000001,0.4000001,0.20000010000000001,0.4000001,0.3000001,1e-07,1e-07,1e-07,0.10000010000000001,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.0000001,0.3000001,1.3000001,5.1000001,2.5000001,2.9000000999999997,3.0000001,2.4000000999999997,2.4000000999999997,1.3000001,1.9000001,0.6000000999999999,1.2000001,3.1000001,4.8000001,5.5000001,4.3000001,7.2000001000000005,11.9000001,2.4000000999999997,3.7000001,7.7000001000000005,8.9000001,7.2000001000000005,7.400000100000001,6.2000001000000005,5.7000001000000005,6.1000001,2.6000001,5.400000100000001,5.5000001,5.2000001000000005,5.3000001,10.8000001,15.600000099999999,1e-07,5.7000001000000005,17.4000001,1.4000001
